"rater_type","sex","n","mean","sd","skewness","kurtosis","t_test_p","cohen_d"
"m12","MALE",2244,1.52139037433155,2.04562027520094,2.12486820150024,8.98149092169744,2.05475112017856e-10,-0.182785447532578
"m12","FEMALE",3002,1.18321119253831,1.69000766449918,2.10801770120316,8.5972991132545,2.05475112017856e-10,-0.182785447532578
"t12","MALE",1551,1.59832366215345,2.30017610006371,2.23585097011921,9.05117895049314,9.49081217264561e-20,-0.323286448466894
"t12","FEMALE",1910,0.957068062827227,1.68444017450721,3.37294159871967,21.1057445013189,9.49081217264561e-20,-0.323286448466894
"v12","MALE",1683,1.38799762329174,1.90681198789711,2.08855153045669,8.72520799500038,1.2594688683303e-07,-0.174266359519107
"v12","FEMALE",2315,1.08466522678186,1.6099042010439,2.49713800061321,12.1861772547162,1.2594688683303e-07,-0.174266359519107
"ysr14","MALE",1205,3.13443983402489,2.34701704135949,0.892971526258418,3.84850295739945,1.70244765196211e-05,0.157663558881253
"ysr14","FEMALE",1963,3.5048395313296,2.35190338954377,0.84308335531323,3.98718815317443,1.70244765196211e-05,0.157663558881253
